id,name,founded_year,website,facebook,instagram,linkedin,contact_phone,bio,head_office_location,total_residential_projects,total_commercial_projects,is_active,sort,deleted_at,created_at,updated_at,total_projects_count
1,"{""ar"": ""نوفوس ستانزا"", ""en"": ""Novus Stanza Properties""}",1987,https://novusstanza.com/,https://www.facebook.com/novusstanza/,https://www.instagram.com/novusstanza/,https://www.linkedin.com/company/novus-stanza-properties1,+20 19625,"{""ar"": ""تعد نوفوس ستانزا العقارية رائدة في قطاع العقارات المصري لأكثر من ثلاثة عقود، حيث تقدم باستمرار جودة استثنائية وتضمن رضا العملاء. طوال رحلتها، طورت الشركة أكثر من 3000 وحدة عالية الجودة، بما في ذلك الفيلات السكنية الفاخرة والمنازل الشاطئية ومباني الشقق المتنوعة في جميع أنحاء منطقة القاهرة الكبرى. تتمثل مهمتها الأساسية في تقديم أفضل قيمة مقابل المال في السوق من خلال توفير جودة غير عادية وتصاميم فريدة لعملائها."", ""en"": ""Novus Stanza Properties has been a leader in the Egyptian real estate industry for over three decades, consistently delivering exceptional quality and ensuring customer satisfaction. Throughout its journey, the company has developed more than 3,000 high-quality units, including luxury residential villas, beach houses, and various apartment buildings across the Greater Cairo area. Their core mission is to offer the best value for money in the market by providing extraordinary quality and unique designs to their customers.""}","119 Al Thawra Street, Heliopolis, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,8
2,"{""ar"": ""ذامارك"", ""en"": ""The Marq""}",2019,https://themarqcommunities.com/,https://www.facebook.com/themarqcommunities/,https://www.instagram.com/themarqcommunities/,https://www.linkedin.com/company/themarqcommunities,16669,"{""ar"": ""تأسست المارك في عام 2019، وسرعان ما أصبحت رائدة في سوق العقارات المصري، مشهورة بمجتمعاتها السكنية المبتكرة والموجهة بالفن. تعيد الشركة تعريف الحياة المجتمعية من خلال دمج الطبيعة مع التصميم المعماري في المواقع الاستراتيجية شرق القاهرة. وبمحفظة أراضٍ تتجاوز 1300 فدان، تشكل المارك مجتمعات سكنية ووجهات تجارية مميزة."", ""en"": ""The Marq, established in 2019, has rapidly become a leader in Egypts real estate market, known for its art-driven and innovative lifestyle communities. The company redefines community living by integrating nature with architectural design in East Cairos strategic locations. With a land portfolio exceeding 1,300 acres, The Marq shapes distinctive residential communities and commercial destinations.""}","90 Axis, Beside FUE, in frond of AUC, New Cairo, Cairo 11835, Egypt",4,2,1,0,NULL,1/10/2026 12:38,NULL,6
3,"{""ar"": ""نورث أفريقيا فور ريال إستيت إنفستمنت"", ""en"": ""North Africa For Real Estate Investment""}",2005,https://www.nestegypt.com/,https://www.facebook.com/NESTEgypt,https://www.instagram.com/northafricaeg,NULL,+202 264 106 81,"{""ar"": ""تأسست شركة North Africa For Real Estate Investment عام 2005 كجزء من مجموعة NAC، وتعمل في تطوير مشاريع سكنية وتجارية وسياحية في القاهرة ومنطقة البحر الأحمر. تضم محفظتها مجمعات سكنية مخططة، ومرافق طبية وتعليمية، ومنتجعات ومشروعات متعددة الاستخدامات مصممة لخدمة المستخدم النهائي والمستثمرين على حد سواء. تركز الشركة على تقديم خدمات متكاملة ومواقع استراتيجية في التجمعات العمرانية وسواحل البحر الأحمر مع تنفيذ مشاريع في قطاعات الإسكان والضيافة والتجارة."", ""en"": ""Founded in 2005 as part of the NAC Group, North Africa For Real Estate Investment (NEST Egypt) develops residential, commercial and tourism projects across Cairo and the Red Sea. The company’s portfolio includes master-planned compounds, medical and educational facilities, resorts and mixed-use developments designed to serve both end-users and investors. NEST Egypt emphasizes integrated amenities, strategic locations in New Cairo and the Red Sea, and multi-sector delivery across housing, hospitality and commercial projects.""}","Villa no (163) Katameya Gardens Compound – Al Anduls – New Cairo, Cairo, Egypt.",0,0,1,0,NULL,1/10/2026 12:38,NULL,13
4,"{""ar"": ""لاندمارك ديفلوبمنتس"", ""en"": ""Landmark Developments""}",2017,http://landmarkdevelopments.net,https://www.facebook.com/LandmarkDevelopments2020/,NULL,https://www.linkedin.com/company/landmark-developments,19594,"{""ar"": ""تأسست لاندمارك ديفلوبمنتس كشركة رائدة في قطاع العقارات المصري منذ عام 2017. تلتزم الشركة بتحقيق رسالتها في توفير منازل بأسعار معقولة ومتاحة لعملائها. تركز على تقديم مشاريع سكنية عالية الجودة تلبي احتياجات السوق المتنوعة."", ""en"": ""Landmark Developments has established itself as a prominent leader within the Egyptian real estate sector since its founding in 2017. The company is dedicated to fulfilling its mission of consistently creating homes that are accessible and affordable for its clients. It focuses on delivering high-quality residential projects that meet diverse market needs.""}",6th of October / Sheikh Zayed,0,0,1,0,NULL,1/10/2026 12:38,NULL,5
5,"{""ar"": ""ريدي ديفيلوبمنت"", ""en"": ""Reedy Development""}",NULL,https://reedygroup.com,NULL,https://www.instagram.com/reedydevelopments,https://www.linkedin.com/company/reedy-developments/,16050,"{""ar"": ""تعد شركة ريدي ديفيلوبمنت مطورًا عقاريًا مصريًا وتتبع مجموعة ريدي العريقة التي تعمل عبر قطاعات متعددة منذ السبعينيات. تركز الشركة على مجتمعات سكنية ومنتجعات متمحورة حول الإنسان في مصر، وتضم محفظتها مشروعات مثل أزار نيو كايرو، أزار إنفينيتي، أزار آيلاندز وأزار ريدي. تقدم ريدي ديفيلوبمنت خدمات متكاملة للتطوير وإدارة المشروعات والاستثمار مع تأكيد على الجودة والقيم العائلية والالتزام بمواعيد التسليم."", ""en"": ""Reedy Development is an Egyptian real estate developer and part of the long-established Reedy Group, which has operations across multiple sectors since the 1970s. The company focuses on human-centered residential and resort communities in Egypt and lists projects such as Azzar New Cairo, Azzar Infinity, Azzar Islands and Azzar Reedy. Reedy provides end-to-end development, project management and investment services with an emphasis on quality, family-led values and timely delivery.""}",NULL,0,0,1,0,NULL,1/10/2026 12:38,NULL,4
6,"{""ar"": ""ذاواتر واي ديفيلوبمنتس"", ""en"": ""The Waterway Developments""}",2010,https://waterway.eg/,https://www.facebook.com/WaterwayDevelopments/,https://www.instagram.com/waterwaydevelopments/,https://www.linkedin.com/company/thewaterwaydevelopments/,16516,"{""ar"": ""تأسست شركة الواتر واي ديفيلوبمنتس في عام 2010، مدفوعة برؤية لإنشاء مجتمعات بوتيكية تعيد تعريف تجارب المعيشة الفاخرة. تتمتع المجموعة بسجل حافل لا مثيل له في بناء المجمعات السكنية والإدارية والتجارية، متخصصة في المفاهيم الفاخرة التي تجسد الأناقة المطلقة. تشمل عملياتها المتنوعة تطوير العقارات، والمبيعات، والتسويق، وإدارة المرافق، وتجارة التجزئة، والإنشاءات، وخدمات الضيافة."", ""en"": ""The Waterway Developments, founded in 2010, is driven by a vision to create boutique communities that redefine luxurious living experiences. The group boasts an unparalleled track record in constructing residential, administrative, and commercial complexes, specializing in luxury concepts that embody elegance. Their diverse operations encompass real estate development, sales, marketing, facility management, commercial retail, construction, and hospitality services.""}","Unit 22A North Investors Zone, New Cairo",0,0,1,0,NULL,1/10/2026 12:38,NULL,13
7,"{""ar"": ""لا فيستا ديفيلوبمنتس"", ""en"": ""La Vista Developments""}",1991,https://lavista.com.eg/,https://www.facebook.com/Lavistates,https://www.instagram.com/lavistates/,https://www.linkedin.com/company/lavistates,16063,"{""ar"": ""لا فيستا ديفيلوبمنتس ملتزمة بإنشاء بيئات معيشية وعمل وترفيه مميزة للأفراد والعائلات والمجتمعات. تتبنى الشركة نهجًا شاملًا، لاستخدام مكتب تصميم داخلي يضم فريقًا من المهندسين المعماريين ومصممي المناظر الطبيعية الخبراء. تشمل هذه الاستراتيجية الشاملة جميع الممارسات من الرؤية الأولية والتصميم إلى الإنشاء والتشطيب والتشغيل للمجتمعات الجديدة."", ""en"": ""La Vista Developments is committed to creating outstanding living, work, and leisure environments for individuals, families, and communities. The company employs a holistic approach, utilizing an in-house design office with expert architects and landscape designers. This comprehensive strategy covers all practices from initial vision and design to construction, finishing, and operation of new communities.""}","Heliopolis, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,12
8,"{""ar"": ""ستارلايت ديفلوبمنتس"", ""en"": ""Starlight Developments""}",NULL,https://www.starlightdevelopments.com/,https://www.facebook.com/starlightdevelopments.eg/,https://www.instagram.com/starlightdevelopments.eg/,NULL,+20 10 91157277,"{""ar"": ""تعد ستارلايت ديفلوبمنتس مطورًا عقاريًا يعتمد على التصميم، وتتمتع بخبرة تزيد عن ثلاثة عقود، مما جعلها رائدة في قطاع العقارات الفاخرة في مصر. تلتزم الشركة بإنشاء مساحات معيشية ملهمة ومصممة بعناية لتعزيز المجتمعات المزدهرة وتقديم قيمة جوهرية. تأسست ستارلايت ديفلوبمنتس على مبادئ الاحترام والشغف بالعلاقات الإنسانية والثقافة والتراث والرقي، وقد قدمت أربعة مشاريع مميزة، منها قطامية كريكس وURBNK وقطامية كوست."", ""en"": ""Starlight Developments is a design-driven developer with over three decades of experience, establishing itself as a pioneer in Egypts luxury real estate sector. The company is dedicated to crafting inspiring, design-led living spaces that foster flourishing communities and deliver substantial value. Founded on principles of respect, passion for human relationships, culture, heritage, and sophistication, Starlight Developments has brought forth four distinct projects, including Katameya Creeks, URBNK, and Katameya Coast.""}","S1, Katameya Heights Buisness Center, Cairo, Egypt",0,0,1,0,NULL,1/10/2026 12:38,NULL,4
9,"{""ar"": ""ماونتن فيو"", ""en"": ""Mountain View""}",2005,https://www.mountainviewegypt.com,https://www.facebook.com/MountainViewEgypt,https://www.instagram.com/mountainview_egypt/,https://www.linkedin.com/company/mountainvieweg,NULL,"{""ar"": ""تعد ماونتن فيو للتطوير العقاري شركة مصرية رائدة في مجال العقارات، تأسست عام 2005، وتشتهر بمشاريعها المبتكرة في جميع أنحاء البلاد. قامت الشركة بتطوير أكثر من 23 مشروعًا في مواقع متميزة تشمل شرق وغرب القاهرة، وساحل البحر الأحمر، والساحل الشمالي. مع التركيز على التطويرات السكنية، تواصل ماونتن فيو توسيع محفظتها وحضورها في السوق."", ""en"": ""Mountain View Developments is a leading Egyptian real estate company, established in 2005, known for its innovative projects across the country. The company has developed over 23 projects in prime locations including East and West Cairo, the Red Sea Coast, and the North Coast. With a focus on residential developments, Mountain View continues to expand its portfolio and presence in the market.""}","Building 183, 2nd Sector, New Cairo 1 New Cairo , Cairo 11865, EG",24,0,1,0,NULL,1/10/2026 12:38,NULL,23
10,"{""ar"": ""سوديك"", ""en"": ""SODIC""}",NULL,https://www.sodic.com/,https://www.facebook.com/SODICRealEstate/,https://www.instagram.com/sodicrealestate/,https://www.linkedin.com/company/sodic/,16220,"{""ar"": ""سوديك هي شركة تطوير عقاري رائدة في مصر، بسجل حافل يمتد لثلاثة عقود من العمليات الناجحة في غرب القاهرة وشرق القاهرة والساحل الشمالي. مدفوعة بنهج يركز على العملاء، تقوم سوديك بتطوير مجتمعات مستدامة ومتعددة الاستخدامات وواسعة النطاق من الفئة أ، والتي تقدم قيمة لجميع أصحاب المصلحة. تلبي مشاريع سوديك الحائزة على جوائز الطلب المتزايد في البلاد على العقارات السكنية والتجارية والتجزئة عالية الجودة، وهي الآن موطن لأكثر من 30,000 مقيم."", ""en"": ""SODIC is a leading real estate developer in Egypt, with a distinguished track record of three decades of successful operations in West Cairo, East Cairo, and the North Coast. Driven by a customer-focused approach, SODIC develops sustainable Class-A, large-scale, mixed-use communities that deliver value to all its stakeholders. SODIC’s award-winning developments cater to the country’s ever-growing demand for high-quality residential, commercial, and retail properties, and are now home to over 30,000 residents.""}","Km. 38 Cairo Alexandria Desert Road, Sheikh Zayed City, Giza, Egypt P.O Box 119 Sheikh Zayed",0,0,1,0,NULL,1/10/2026 12:38,NULL,8
